Time,TRACENO,FFID,CHAN,SOU_X,SOU_Y,FRONT_X,FRONT_Y,TAIL_X,TAIL_Y,Feathering
09:26:04.859,913,1552489,1,235096.41839,3781342.21426,235118.7506,3781353.0184,235069.5568,3781370.1708,19.8221285499651
09:26:05.147,952,1552490,16,235097.4116,3781342.1171,235119.4918,3781353.0275,235069.5568,3781370.1708,19.547976938668114
09:26:05.381,952,1552490,16,235097.4116,3781342.1171,235119.4918,3781353.0275,235070.3068,3781370.2376,19.88522041898875
09:26:05.584,961,1552491,1,235098.4258,3781342.01788,235120.7644,3781353.0786,235071.4818,3781370.2228,19.781524136403846
09:26:05.859,961,1552491,1,235098.4258,3781342.01788,235122.3183,3781353.4667,235071.4818,3781370.2228,18.84261594691384
09:26:06.144,1024,1552493,16,235100.45936,3781341.81894,235122.3183,3781353.4667,235071.4818,3781370.2228,18.84261594691384
09:26:06.382,1024,1552493,16,235100.45936,3781341.81894,235123.2104,3781353.5279,235072.38,3781370.0852,18.642303389953213
09:26:06.659,1033,1552494,1,235101.45539,3781341.72151,235123.2104,3781353.5279,235072.38,3781370.0852,18.642303389953213
09:26:06.859,1033,1552494,1,235101.45539,3781341.72151,235123.2104,3781353.5279,235073.4499,3781370.0321,18.949274285364424
09:26:07.145,1072,1552495,16,235102.43652,3781341.62553,235124.2494,3781353.4621,235073.4499,3781370.0321,18.665513770121606
09:26:07.382,1072,1552495,16,235102.43652,3781341.62553,235124.2494,3781353.4621,235074.7318,3781369.9531,19.019465710456927
09:26:07.659,1081,1552496,1,235103.4193,3781341.52939,235125.4819,3781353.2655,235075.5712,3781369.8021,18.931259546009642
09:26:07.858,1081,1552496,1,235103.4193,3781341.52939,235126.2757,3781353.3111,235075.5712,3781369.8021,18.61646356453747
09:26:08.182,1120,1552497,16,235104.40083,3781341.43337,235126.2757,3781353.3111,235076.4095,3781369.6523,18.74401796197685
09:26:08.382,1120,1552497,16,235104.40083,3781341.43337,235126.2757,3781353.3111,235076.4095,3781369.6523,18.74401796197685
09:26:08.658,1129,1552498,1,235105.43238,3781341.33245,235127.6306,3781353.2078,235077.4942,3781369.5365,18.639680023138965
09:26:08.865,1129,1552498,1,235105.43238,3781341.33245,235127.6306,3781353.2078,235077.4942,3781369.5365,18.639680023138965
09:26:09.181,1168,1552499,16,235106.47657,3781341.2303,235128.8637,3781353.043,235078.3936,3781369.4044,18.561660331736448
09:26:09.421,1168,1552499,16,235106.47657,3781341.2303,235128.8637,3781353.043,235078.3936,3781369.4044,18.561660331736448
09:26:09.659,1177,1552500,1,235107.48578,3781341.13158,235129.7647,3781353.0437,235079.3473,3781369.4149,18.589302625378934
09:26:09.897,1177,1552500,1,235107.48578,3781341.13158,235129.7647,3781353.0437,235079.3473,3781369.4149,18.589302625378934
09:26:10.181,1216,1552501,16,235108.47944,3781341.03437,235129.7647,3781353.0437,235080.4946,3781369.4077,18.972793087720277
09:26:10.408,1216,1552501,16,235108.47944,3781341.03437,235130.9152,3781352.988,235080.4946,3781369.4077,18.638077471109398
09:26:10.659,1225,1552502,1,235109.4493,3781340.93949,235132.1455,3781353.1393,235081.4156,3781369.4058,18.37840467798867
09:26:10.981,1225,1552502,1,235109.4493,3781340.93949,235132.1455,3781353.1393,235081.4156,3781369.4058,18.37840467798867
09:26:11.182,1264,1552503,16,235110.4098,3781340.84553,235132.1455,3781353.1393,235082.3714,3781369.4948,18.79024345464188
09:26:11.459,1264,1552503,16,235110.4098,3781340.84553,235133.25,3781353.2866,235082.3714,3781369.4948,18.270118469580495
09:26:11.744,1273,1552504,1,235111.41502,3781340.7472,235133.25,3781353.2866,235083.4927,3781369.4223,18.567261465593333
09:26:11.983,1273,1552504,1,235111.41502,3781340.7472,235133.25,3781353.2866,235084.482,3781369.1182,18.585032289305843
09:26:12.259,1312,1552505,16,235112.46098,3781340.64487,235134.6008,3781353.077,235084.482,3781369.1182,18.3479734024898
09:26:12.459,1312,1552505,16,235112.46098,3781340.64487,235134.6008,3781353.077,235084.482,3781369.1182,18.3479734024898
09:26:12.747,1321,1552506,1,235113.49786,3781340.54344,235136.2521,3781353.4346,235085.4997,3781368.9459,17.594563258122378
09:26:12.982,1321,1552506,1,235113.49786,3781340.54344,235136.2521,3781353.4346,235085.4997,3781368.9459,17.594563258122378
09:26:13.259,1360,1552507,16,235114.5084,3781340.44458,235137.0511,3781353.5524,235086.5409,3781368.9221,17.524430079689353
09:26:13.459,1360,1552507,16,235114.5084,3781340.44458,235137.0511,3781353.5524,235087.0765,3781369.0333,17.811693280440466
09:26:13.781,1369,1552508,1,235115.49899,3781340.34768,235137.9219,3781353.4692,235087.0765,3781369.0333,17.61968243431528
09:26:13.982,1369,1552508,1,235115.49899,3781340.34768,235137.9219,3781353.4692,235087.7319,3781369.0842,17.881845315934072
09:26:14.234,1408,1552509,16,235116.45717,3781340.25394,235137.9219,3781353.4692,235087.7319,3781369.0842,17.881845315934072
09:26:14.544,1417,1552510,1,235117.41647,3781340.1601,235139.5561,3781353.4994,235089.1825,3781368.8433,17.540841346214165
